S No,College Name,Address,State,Contact No(s),E-Mail ID,Weblink
335,"University of Madras, Institute of Distance Education, Chennai","IDE Building Chepauk , Chennai - 600005 , Tamil Nadu ,India",Tamil Nadu,"044-25613716,25613727,25613728",idedirector@gmail.com,http://www.ideunom.ac.in
336,"Amrita College of Education, Chennai","Kunichi Tirupatur, , Chennai - 635601 , Tamil Nadu ,India",Tamil Nadu,9443626540,"ull,""telephone",http://www.amritacetpt.in/index.php
337,"Annai Veilankanni's College of Education, Chennai","Nedungundram near Perungalathur Railway Station , Chennai - 600048 , Tamil Nadu ,India",Tamil Nadu,"044-65139222,9282144444","ull,""telephone",http://annaiveilankannis.com/college-of-education/
338,"Rajalakshmi College of Education, Chennai","# 69 New Avadi Road, Kilpauk , Chennai - 600010 , Tamil Nadu ,India",Tamil Nadu,"044-26442472,26461316,9944311111",admin@rajalakshmi.edu.in,http://www.rajalakshmiinstitutions.edu.in/rce.html
339,"Amman College of Education, Chennai","Pillaiyarnatham dindigul , Chennai - 624002 , Tamil Nadu ,India",Tamil Nadu,I,"ull,""telephone",http://ammancolleges.org/
340,"Angels College of Education, Chennai","Aniyapuram, Namakkal , Chennai - 637017 , Tamil Nadu ,India",Tamil Nadu,"04286-266833,8220052955",angels.nkl@gmail.com,http://www.angelsnkl.org/index.html
341,"Annai College of Education, Chennai","Nambipatti H.Doddampatti Harur , Chennai - 636903 , Tamil Nadu ,India",Tamil Nadu,04346–201455,"ull,""telephone",http://www.annaibed.com/index.html
342,"Annai Fathima College of Education, Chennai","Anakudi Road,Kovilacheri,Kumbakonam , Chennai - 612503 , Tamil Nadu ,India",Tamil Nadu,0435-2421692,"ull,""telephone",http://www.annaifathimabed.org/index.html
343,"Annai Saraswathi College of Education, Chennai","No. 23,Ganesapuram Manavalanagar. , Chennai - 602002 , Tamil Nadu ,India",Tamil Nadu,044-27640933,"ull,""telephone",http://www.aset.in/index.html
344,"Indira Gandhi College of Education, Chennai","Authur Thimmavaram Chengalpattu. , Chennai - 603101 , Tamil Nadu ,India",Tamil Nadu,"044-27493425,99419,76667,98407,03875","ull,""telephone",http://www.igced.in/index.html
345,"Madha College of Education, Chennai","Madha Nagar Somangalam Road, , Chennai - 600069 , Tamil Nadu ,India",Tamil Nadu,e,"ull,""telephone",http://www.madhacollegeofeducation.com/index.html
346,"National Institute For The Visually Handicapped Regional Centre, Chennai","522, Trunk Road , Chennai - 600056 , Tamil Nadu ,India",Tamil Nadu,044-26272505,mail: nivhchen@tn.nic.in,http://www.nivhrc-chen.org/
347,"Lady Willingdon Institute of Advanced Study In Education, Chennai","South Beach Road, Kamarajar Salai, Triplicane , Chennai - 600005 , Tamil Nadu ,India",Tamil Nadu,044-28445531,info@ladywillingdoniase.com,http://www.ladywillingdoniase.com/index.html
348,"Tamil Nadu Physical Education and Sports University, Directorate of Distance Education, Chennai","Tamil Nadu Physical Education and Sports University, Vandalur - Kelambakkam Road, Melakottaiyur Post , Chennai - 600127 , Tamil Nadu ,India",Tamil Nadu,"044-27477919,27477926",sportsuniversitydde2007@gmail.com,http://www.tnpesu.org/
349,"Netrodaya College of Special Education, Chennai","47/1, Nolambur Phase II,Mogappair West , Chennai - 600037 , Tamil Nadu ,India",Tamil Nadu,"044-26530712,26533680,9382896636",info@nethrodaya.org,http://www.nethrodaya.org/
350,"Prof. S.A. College of Education, Chennai","1/145, SardarPatel Road Old Mahabalipuram Road. , Chennai - 600119 , Tamil Nadu ,India",Tamil Nadu,044-24500220,"ull,""telephone",http://www.psacen.com/
351,"Meston College of Education, Chennai","10/33, West Cott Road, Royapettah, Chennai , Chennai - 600014 , Tamil Nadu ,India",Tamil Nadu,044-28419284,mestoncollegeofeducation@gmail.com,http://www.mestoncollege.edu.in/index.htm
352,"Sivanthi College of Education, Chennai","Sivanthi Garden, Metha Nagar , Chennai - 600069 , Tamil Nadu ,India",Tamil Nadu,"044-32533554,9382223553",sivanthi_coe@yahoo.in,http://www.sivanthi.com/
353,"MEASI College of Education, Chennai","2, Demellows Road, Choolai, (Behind Tamil Nadu Haj Service Society) , Chennai - 600112 , Tamil Nadu ,India",Tamil Nadu,"044-32503300,32975500",measiedu@yahoo.co.in,http://www.measiedu.org/index.php
354,"Our Lady College of Education, Chennai","Our lady Nagar, Maduravoyal , Chennai - 600095 , Tamil Nadu ,India",Tamil Nadu,044-23780899,info@ourladycollegeofeducation.com,http://www.ourladycollegeofeducation.com/
355,"SRM University Vadapalani Campus, Chennai","No.1, Jawaharlal Nehru Road, (100 feet Road, Near Vadapalani Signal), Vadapalani , Chennai - 600026 , Tamil Nadu ,India",Tamil Nadu,"044-43969966,43969967","ull,""telephone",http://www.srmuniv.ac.in/ramapuram-part-vadapalani/
356,"SRM University Ramapuram Campus, Chennai","Bharathi Salai, Ramapuram , Chennai - 600089 , Tamil Nadu ,India",Tamil Nadu,"044-30603042,30603111",dean.et@rmp.srmuniv.ac.in,http://www.srmuniv.ac.in/ramapuram/
357,"Sree Balaji College of Nursing, Chennai","7, Works Road, Chromepet, Chennai , Chennai - 600044 , Tamil Nadu ,India",Tamil Nadu,"044,-,42877081",sbcnchennai@in.com,http://www.sbcn.ac.in/index.htm
358,"Sri Ramachandra College of Allied Health Sciences - [AHS], Chennai","Sri Ramachandra University, No.1, Ramachandra Nagar, Porur , Chennai - 600116 , Tamil Nadu ,India",Tamil Nadu,"044-45928500,24768027,24768029","ull,""telephone",http://www.sriramachandra.edu.in/university/colleges.php?cid=6
359,"Maritime Foundation, Chennai","Padmasree Apartments, 34, Jayalakshmipuram 1st St, Nungambakkam , Chennai - 600034 , Tamil Nadu ,India",Tamil Nadu,"044-28236869,42141465",mfipl@yahoo.co.in,http://maritime-foundation.com/
360,"Sri Ramachandra College of Management, Chennai","Sri Ramachandra University, No.1 Ramachandra Nagar, Porur , Chennai - 600116 , Tamil Nadu ,India",Tamil Nadu,"044-23860156,23860192,23860292",principal.management@sriramachandra.edu.in,http://www.sriramachandra.edu.in/university/colleges.php?cid=3
361,"Sree Balaji College of Physiotherapy, Chennai","Velachery Main Road, Narayanapuram, Pallikaranai , Chennai - 600100 , Tamil Nadu ,India",Tamil Nadu,"044-22462179,Principal,-,9940047137",s.s.subramanian@hotmail.com,http://www.sbcp.ac.in/index.htm
362,"Faculty of Nursing Sri Ramachandra Medical College and Research Institute, Chennai","Sri Ramachandra University, No.1 Ramachandra Nagar, Porur , Chennai - 600116 , Tamil Nadu ,India",Tamil Nadu,"044-45928785,45928786",principal.nursing@sriramachandra.edu.in,http://www.sriramachandra.edu.in/university/colleges.php?cid=7
363,"Sri Ramachandra College of Pharmacy, Chennai","Sri Ramachandra University, No.1 Ramachandra Nagar, Porur , Chennai - 600116 , Tamil Nadu ,India",Tamil Nadu,"044-45928500,24768027",principal.pharmacy@sriramachandra.edu.in,http://www.sriramachandra.edu.in/university/colleges.php?cid=1
364,"Sri Ramachandra College of Physiotherapy, Chennai","Sri Ramachandra University, No.1 Ramachandra Nagar, Porur , Chennai - 600116 , Tamil Nadu ,India",Tamil Nadu,"044-45928628,45928375",principal.physiotherapy@sriramachandra.edu.in,http://www.sriramachandra.edu.in/university/departments.php?cid=8&did=70
365,"Sri Ramachandra College of Biomedical Sciences, Technology & Research, Chennai","Sri Ramachandra University, No.1 Ramachandra Nagar, Porur , Chennai - 600116 , Tamil Nadu ,India",Tamil Nadu,"044-45928500,24768027,24768029","ull,""telephone",http://www.sriramachandra.edu.in/university/colleges.php?cid=5
366,"Sai Ram Shipping Science College, Chennai","Villiyanoor – Koodapakkam Main Road , Chennai - 600017 , Tamil Nadu ,India",Tamil Nadu,"044-42267777,42267778",info@sairamgroup.in,http://www.sairamgroup.in/Shipping_Pondy.html
367,"Sri Ramachandra Dental College, Chennai","Sri Ramachandra University, No.1 Ramachandra Nagar, Porur , Chennai - 600116 , Tamil Nadu ,India",Tamil Nadu,"044-45928500,45928266",dean.dental@sriramachandra.edu.in,http://www.sriramachandra.edu.in/university/colleges.php?cid=2
368,"Sri Ramachandra Medical College, Chennai","Sri Ramachandra University, No.1 Ramachandra Nagar, Porur , Chennai - 600116 , Tamil Nadu ,India",Tamil Nadu,044-45928500,"ull,""telephone",http://www.sriramachandra.edu.in/university/colleges.php?cid=4
369,"Dr. Ambedkar Government Law College, Chennai","Near Kuralagam, High Court Building Campus , Chennai - 600104 , Tamil Nadu ,India",Tamil Nadu,"044-25340907,25340907",draglc104@yahoo.com,http://www.draglc.ac.in/
370,"College of Food and Dairy Technology, Tamil Nadu Veterinary and Animal Sciences University - [CFDT], Chennai","Koduvalli , Chennai - 600052 , Tamil Nadu ,India",Tamil Nadu,044-27680218,Baskaran.d@tanuvas.ac.in,http://www.tanuvas.ac.in/cfdt_koduvalli.html
371,"Post Graduate Research Institute in Animal Sciences - [PGRIAS], Chennai","Kattupakkam , Chennai - 603203 , Tamil Nadu ,India",Tamil Nadu,9444688273,"ull,""telephone",http://www.tanuvas.tn.nic.in/pgrias_kattupakkam.html
372,"Institute of Remote Sensing, Anna University - [IRS], Chennai","Ranjith Rd, Kotturpuram , Chennai - 600025 , Tamil Nadu ,India",Tamil Nadu,044-22357080,vc@annauniv.edu,https://www.annauniv.edu/RemoteSensing/index.html
373,"Meenakshi College of Nursing,  MaherUniversity, Chennai","Chikkarayapuram Kundrathur Road , Chennai - 600069 , Tamil Nadu ,India",Tamil Nadu,044-32998334,info@maher.ac.in,http://www.mcn.edu.in/index.php
374,"Institute for Energy Studies, Anna University - [IES], Chennai","Kotturpuram , Chennai - 600025 , Tamil Nadu ,India",Tamil Nadu,044-64502506,ies@annauniv.edu,https://www.annauniv.edu/EnergyStudies/index.php
375,"VIT Business School - [VITBS], Chennai","VIT University, Chennai Campus, Vandalur - Kelambakkam Road , Chennai - 600127 , Tamil Nadu ,India",Tamil Nadu,044-39931555,admin.chennai@vit.ac.in,http://www.vit.ac.in/academics/schools/vitbs
376,"Department of Management Studies, Anna University - [DOMS], Chennai","Guindy , Chennai - 600025 , Tamil Nadu ,India",Tamil Nadu,"044-22203413,22203410",peerumohamed@hotmail.com,https://www.annauniv.edu/management/index.php
377,"AMET Business School, Chennai","135, East Coast Road,  Kanathur , Chennai - 603112 , Tamil Nadu ,India",Tamil Nadu,"044-32577030,32577002,Toll,Free,No.,-,1800-108-3030,9344391418,9381055898",admission@ametuniv.ac.in,http://www.ametuniv.ac.in/department-amet-business-school.html
378,"VIT Law School - [VITLS], Chennai","VIT University, Chennai Campus, Vandalur Kelambakkam Road , Chennai - 600127 , Tamil Nadu ,India",Tamil Nadu,044-39931555,admin.chennai@vit.ac.in,http://chennai.vit.ac.in/academics/schools/vitsol
379,"YMCA College of Physical Education, Chennai","No.333, Anna Salai, Nandanam , Chennai - 600035 , Tamil Nadu ,India",Tamil Nadu,"044-24344816,Correspondent,&,Secretary,-,2436270,Principal,-,9444886080",ymca_phy_edn@yahoo.co.in,http://ymcacollege.ac.in/index.html
380,"Crescent School of Business - [CSB], Chennai","GST Road, Vandalur , Chennai - 600048 , Tamil Nadu ,India",Tamil Nadu,"91,8056542745,9444149454,9094674404,9994299173,9381122212",admissions@csbedu.in,http://www.csbedu.in/
381,"Saveetha School of Management - [SSM], Chennai","Noombal Icon , Chennai - 600056 , Tamil Nadu ,India",Tamil Nadu,"044-26801684,Enquiry,-,84285,12195,Enquiry,-,97908,78183",director.ssm@saveetha.com,http://saveethaschoolofmanagement.com/
382,"School of Architecture and Planning, Anna University, Chennai","Anna University , Chennai - 600025 , Tamil Nadu ,India",Tamil Nadu,"044-,22203701,2203708,22352341","ull,""telephone",https://www.annauniv.edu/sap/
383,"Crescent School of Architecture, B.S.Abdur Rahman University, Chennai","Vandalur Seethakathi Estate , Chennai - 600048 , Tamil Nadu ,India",Tamil Nadu,"044-22751347,22751348,22751350,22751375","ull,""telephone",http://www.crescentschoolofarchitecture.com
384,"Saveetha School of Engineering - [SSE], Chennai","Saveetha Nagar, Thandalam , Chennai - 602105 , Tamil Nadu ,India",Tamil Nadu,8939994247,enggadmission@saveetha.com,http://sse.saveetha.com/home/home/home.php
385,"Saveetha School of Law, Chennai","162, Ponnamalle High Road, Velappanchavadi , Chennai - 600077 , Tamil Nadu ,India",Tamil Nadu,044-26801580,info@savitha.com,http://www.saveetha.com/law/
386,"Vel Tech Dr. RR & Dr. SR Technial University, Vel Tech Business School, Chennai","Avadi-Vel Tech Road  Avadi , Chennai - 600062 , Tamil Nadu ,India",Tamil Nadu,"044-268416021,26840896",admission@veltechuniv.edu.in,https://www.veltech.edu.in/mba
387,"A.C.S. Medical College and Hospital, Chennai","Poonamalle High Road, Bangalore Highway – NH4, ,Velappanchavadi , Chennai - 600077 , Tamil Nadu ,India",Tamil Nadu,"044-6457,0316,Toll-free,No.,-,1800-30000-7073,23781080,23781090,23782176,23782186,9841280664,9841010527",dean@acsmch.ac.in,http://acsmch.ac.in/?p=1
388,"All India Institute of Technology and Management -[AIITM], Chennai","Centre Incharge, D.No: 25, Flowers Road,,Egmore Benifit Building, 2nd Floor, Kilpauk , Chennai - 600084 , Tamil Nadu ,India",Tamil Nadu,"044-32576476,9362321512",director.admission@aiitm.co.in,http://aiitm.co.in/
389,"Anand School of Architecture, Chennai","Kalasalingam Nagar, IT Corridor, Old Mahablipuram Road, Kazhipattur , Chennai - 603103 , Tamil Nadu ,India",Tamil Nadu,"044-27471360,27471370",anandschoolofarchitecture@gmail.com,http://www.aiht.ac.in/Architecture.html#
390,"Bridge Academy For Media Studies, Chennai","Opposite to Nungambakkam Railway Station 27,  Sowrashtra Nagar,  5th Street , Chennai - 600094 , Tamil Nadu ,India",Tamil Nadu,"044-23725111,9962983803,9710055668",media@bridgeacademy.in,http://www.bridgeacademy.in/default.asp
391,"Chennais Amirta International Institute of Hotel Management - [CAIIHM], Chennai","No:15/25, 3rd Cross Street, Opp M.C Raja Mens Hostel, CIT Nagar West, Nandanam, CIT Nagar , Chennai - 600035 , Tamil Nadu ,India",Tamil Nadu,"9393600700,8939500300",enquiry@chennaiamirta.com,http://www.chennaisamirta.com/
392,"Government Arts College For Men, Chennai","No.329, Annasalai, Nandanam , Chennai - 600035 , Tamil Nadu ,India",Tamil Nadu,044-24351048,"ull,""telephone",http://www.gacnandanam.com/index.php
393,"VIT University, Chennai","Vandalur, Kelambakkam Road , Chennai - 600127 , Tamil Nadu ,India",Tamil Nadu,"044-39931220,9931555",admin.chennai@vit.ac.in,http://chennai.vit.ac.in/
394,"Vel Tech Ranga Sanku Arts College, Chennai"," 42, Avadi - Vel Tech Road Avadi , Chennai - 600062 , Tamil Nadu ,India",Tamil Nadu,"044,-,29036931",emailto@velsrscollege.com,http://www.velsrscollege.com/
395,"Rajalakshmi School of Business- [RSB], Chennai","Kuthambakkam Post , Chennai - 600124 , Tamil Nadu ,India",Tamil Nadu,"044-37186500,37186501,Administrative,Office,-,26442472,Administrative,Office,-,26460124",admissions@rsb.edu.in,http://www.rsb.edu.in/
396,"Bharath Institute of Higher Education and Research, College of Engineering, Chennai","173 Agharam Road Selaiyur , Chennai - 600073 , Tamil Nadu ,India",Tamil Nadu,"044,-22290247","ull,""telephone",https://www.bharathuniv.ac.in/engineering.php
397,"Bharath Institute of Higher Education and Research, College of management, Chennai","173 Agharam Road Selaiyur  , Chennai - 600073 , Tamil Nadu ,India",Tamil Nadu,"044-22290742,22290125","ull,""telephone",https://www.bharathuniv.ac.in/colleges1/mba.php
398,"Bharath Institute of Law, Chennai","173 Agharam Road Selaiyur , Chennai - 600073 , Tamil Nadu ,India",Tamil Nadu,"044-22290742,22290125",dean.law@bharathuniv.ac.in,https://bharathlaw.ac.in/
399,"AAM Business School, Chennai","No. 41, Essarar Tower, Venkatnarayana Road, T. Nagar (Near Sri Balaji Temple) , Chennai - 600017 , Tamil Nadu ,India",Tamil Nadu,"044-43533300,8754501600,8754501915",info@avidus.net,http://www.avidus.net/
400,"Eva Stalin Business School - [EBS], Chennai","No # 12/27, Muthuranga Mudali Street, Near Titan watch showroom, West Tambaram , Chennai - 600045 , Tamil Nadu ,India",Tamil Nadu,"07667-244469,9094023578,7299247716",info@evastalinbschool.com,http://www.evastalinbschool.com/
401,"Park Global School of Business Excellence, Chennai","Opposite Guru Temple Arch, Kanchipuram District, Govindavadi , Chennai - 631502 , Tamil Nadu ,India",Tamil Nadu,9443743652,admissions.cni@pgsbe.ac.in,http://www.pgsbe.ac.in/
402,"Madras Veterinary College - [MVC], Chennai","Chennai , Chennai - 600007 , Tamil Nadu ,India",Tamil Nadu,044-25304000,deanmvc@tanuvas.org.in,http://www.tanuvas.tn.nic.in/mvc.html
403,"Kumaran Institute of Technology - [KIT], Chennai","Minjur, Chennai , Chennai - 601203 , Tamil Nadu ,India",Tamil Nadu,044-27932091,kitchennai@yahoo.com,http://www.kitchennai.org/
404,"ARS College of Engineering - [ARSCE], Chennai","Sattamangalam, Maramalai nagar,, , Chennai - 603209 , Tamil Nadu ,India",Tamil Nadu,"9976990062,9942990053",arsengineeringcollege@gmail.com,http://www.arsenggcollege.com/arsnew/
405,"Dhanalakshmi Srinivasan College of Engineering and Technology - [DSCET], Chennai","East Coast Road, Mamallapuram , , Chennai - 603104 , Tamil Nadu ,India",Tamil Nadu,"044-27442844,2744384",dscet@yahoo.co.in,http://www.dscet.ac.in/index.php
406,"St.Joseph's Institute of Technology - [SJIT], Chennai","Old Mamallapuram Road, Semmancheri, , Chennai - 600119 , Tamil Nadu ,India",Tamil Nadu,044-24503132,ravichan3064@gmail.com,http://www.stjosephstechnology.ac.in/web/index.html
407,"VEL TECH, Chennai","#60, Avadi - Vel Tech Road, Vel Nagar, Avadi , Chennai - 600062 , Tamil Nadu ,India",Tamil Nadu,"044-26840249,26840896,26840869,7358701997",admission@vel-tech.org,http://www.veltechengg.com/
408,"Government Medical College Omandurar - [GMC], Chennai","Omandurar Govt. Estate , Chennai - 600002 , Tamil Nadu ,India",Tamil Nadu,044-25333319,gmcomandurar@gmail.com,http://www.gmcoge.tn.gov.in/
409,"Patrician College of Arts and science, Chennai","Canal Bank Road, Gandhi Nagar, (Behind Kotturpuram Railway Station) Adyar , Chennai - 600020 , Tamil Nadu ,India",Tamil Nadu,"044-24401362,24426913",director@patriciancollege.org,http://www.patriciancollege.org/
410,"Cornerstone International College, Chennai","SSPDL, Alpha City, Beta Block, Level 6, 25 Rajiv Gandhi Salai (OMR), Navalur , Chennai - 600103 , Tamil Nadu ,India",Tamil Nadu,"044,-,40701900,Mumbai,Campus,-,7378589102,8698409956","ull,""telephone",http://www.cornerstone.edu.in
411,"Thiruthangal Nadar College, Chennai","Near Kaviarasu Kannadhasan Nagar Bus Terminus , Chennai - 600051 , Tamil Nadu ,India",Tamil Nadu,"044-25942525,25941717",tnc_98@yahoo.com,http://thiruthangalnadarcollege.org/
412,"University college of Engineering Ariyalur, Chennai","Kathankudikadu(Vill),Thelur(Po),Ariyalur(Dt.),Ariyalur , Chennai - 621705 , Tamil Nadu ,India",Tamil Nadu,0631-409105,support@email.com,http://auucea.edu.in/index.php
413,"Versatile Business School, Chennai","# 140, Marshalls Road, Egmore , Chennai - 600008 , Tamil Nadu ,India",Tamil Nadu,"044-42604805,9543311222",info@versatilebschool.com,http://www.versatilebschool.com
414,"Xavier Institute of Management and Entrepreneurship - [XIME], Chennai","Plot No CP 2 A, SIPCOT Industrial Park, Near Royal Enfield Factory, Oragadam, Vandalur-Wallajabad Highway, Sriperumbudur Taluk , Chennai - 602105 , Tamil Nadu ,India",Tamil Nadu,"044-67130400,9884421566",ximechennai@xime.org,http://xime.org/about-xime-chennai
415,"The National Institute of Hotel Management - [NIHM], Chennai","# 91, Poonamllee High Road, Nerkundram, Koyambedu , Chennai - 600107 , Tamil Nadu ,India",Tamil Nadu,"044-65655009,9087500600",nihm.info@gmail.com,http://www.nihm.in
416,"Avidus Academy of Management - [AAM Business School], Chennai","No 41, Essarar Tower, Venkatnarayana Road, T. Nagar , Chennai - 600017 , Tamil Nadu ,India",Tamil Nadu,"044-43533300,8754501616,8754501600",info@avidus.net,http://www.avidus.net
417,"Institute for Financial Management and Research - [IFMR], Chennai","24, Kothari Road , Chennai - 600034 , Tamil Nadu ,India",Tamil Nadu,"044-28279208,28202646",phd@ifmr.ac.in,http://www.ifmrchennai.ac.in/index.php
